ID,公司名称,职位名称,学历要求,工作经验,薪资,福利,工作内容,所属行业,上市情况,公司规模
4715977,特斯联（北京）科技有限公司,软件工程师-系统平台,本科,5-10年,10k-20k,大平台,"系统集成,Java","移动互联网,硬件",B轮,150-500人
5321688,重庆巨鹿网络科技有限公司,Devops开发工程师,本科,3-5年,8k-12k,团队合作双休如有加班另有加班工资,"Java,系统架构","移动互联网,电子商务",不需要融资,15-50人
4882867,深圳市天彦通信股份有限公司,数据ETL研发工程师,本科,3-5年,10k-15k,数据ETL,"SQLServer,Spark",数据服务,不需要融资,150-500人
5096510,北京奇艺世纪科技有限公司,运维开发工程师,本科,3-5年,10k-15k,"六险一金,带薪年假,开发,与大咖共事",Linux,"广告营销,文化娱乐",上市公司,2000人以上
5259042,重庆盘古美天物联网科技有限公司,运维工程师-美天停车,本科,5-10年,8k-16k,"五险,双休,年终奖,免费午餐","Linux,IT支持,Web安全","移动互联网,金融",不需要融资,2000人以上
4725965,重庆市由来科技有限公司,大数据开发工程师,本科,1-3年,8k-16k,"高能力,高收入,重发展","Hadoop,数据挖掘,数据分析","移动互联网,数据服务",未融资,15-50人
4359820,重庆星坛科技有限公司,高级PHP开发工程师,不限,3-5年,15k-20k,"团队合作,自主研发",Java,移动互联网,不需要融资,150-500人
4066535,重庆迅游科技有限公司,运维工程师,大专,3-5年,7k-12k,"五险一金,带薪年假,餐补交补,年终奖",Linux,"移动互联网,游戏",不需要融资,150-500人
3442209,重庆允升科技有限公司,算法工程师,硕士,3-5年,15k-25k,"平台大,技术氛围好,股权激励,带团队","Java,Scala,PHP,机器学习","电子商务,企业服务",A轮,50-150人
4878148,完美世界（北京）网络技术有限公司,数据工程师(4173),本科,1-3年,10k-15k,"五险一金,员工食堂,免费健身房","MySQL,Java,算法",移动互联网,A轮,2000人以上
5332526,中冶赛迪重庆信息技术有限公司,深度学习算法工程师,硕士,3-5年,10k-20k,世界500强央企 大平台,,移动互联网,不需要融资,150-500人
5218358,北京数起科技有限公司,前端开发工程师,本科,1-3年,6k-8k,"五险一金,项目提成,发展机遇",Web前端,移动互联网,A轮,50-150人
447764,重庆誉存大数据科技有限公司,数据工程师,本科,1-3年,8k-16k,大数据，顶级团队，硅谷公司文化,,金融,A轮,50-150人
